,index,cases,Country
9,2022-01-30,523.7594681345414,Pakistan
0,2022-01-21,5498.645269413848,Argentina
1,2022-01-22,5538.190785699469,Argentina
2,2022-01-23,5515.102768488769,Argentina
3,2022-01-24,5673.0326335874315,Argentina
4,2022-01-25,5648.728861494399,Argentina
5,2022-01-26,5696.959473402783,Argentina
6,2022-01-27,5701.609986994073,Argentina
7,2022-01-28,5827.0079823718315,Argentina
8,2022-01-29,5783.384014334902,Argentina
9,2022-01-30,5744.065001988136,Argentina
0,2022-01-21,14786.252834949451,Ireland
1,2022-01-22,14820.331065401157,Ireland
2,2022-01-23,14437.570837234862,Ireland
3,2022-01-24,14258.7741700182,Ireland
4,2022-01-25,14070.017036086247,Ireland
5,2022-01-26,13691.258230590325,Ireland
6,2022-01-27,14090.001129961256,Ireland
7,2022-01-28,13257.278383826724,Ireland
8,2022-01-29,13393.513233142196,Ireland
9,2022-01-30,13191.815973078961,Ireland
0,2022-01-21,-10.859817905771202,Kazakhstan
1,2022-01-22,-6.514863233802418,Kazakhstan
2,2022-01-23,-2.887031633432174,Kazakhstan
3,2022-01-24,16.72100007438269,Kazakhstan
4,2022-01-25,3.878245309351321,Kazakhstan
5,2022-01-26,15.903793318120169,Kazakhstan
6,2022-01-27,22.971570995368914,Kazakhstan
7,2022-01-28,34.100193947675656,Kazakhstan
8,2022-01-29,22.787367170822634,Kazakhstan
9,2022-01-30,24.050536660250962,Kazakhstan
0,2022-01-21,18580.863341840108,Denmark
1,2022-01-22,17307.697960639143,Denmark
2,2022-01-23,18367.15059593722,Denmark
3,2022-01-24,17878.020871765042,Denmark
4,2022-01-25,17902.521896975035,Denmark
5,2022-01-26,17842.228032958417,Denmark
6,2022-01-27,17530.090279641892,Denmark
7,2022-01-28,17908.38822432983,Denmark
8,2022-01-29,17760.163976189608,Denmark
9,2022-01-30,17562.32454159333,Denmark
0,2022-01-21,331.98265525320863,Algeria
1,2022-01-22,334.3702298023228,Algeria
2,2022-01-23,332.9762825875832,Algeria
3,2022-01-24,342.5113541170882,Algeria
4,2022-01-25,341.04400527081975,Algeria
5,2022-01-26,343.9559455436171,Algeria
6,2022-01-27,344.2367219484736,Algeria
7,2022-01-28,351.8076703237951,Algeria
8,2022-01-29,349.1738578059847,Algeria
9,2022-01-30,346.7999585123857,Algeria
0,2022-01-21,20417.42007615921,Russian Federation (the)
1,2022-01-22,20564.259411772182,Russian Federation (the)
2,2022-01-23,20478.529614154824,Russian Federation (the)
3,2022-01-24,21064.95049426268,Russian Federation (the)
4,2022-01-25,20974.70638867927,Russian Federation (the)
5,2022-01-26,21153.79498516345,Russian Federation (the)
6,2022-01-27,21171.063145757736,Russian Federation (the)
7,2022-01-28,21636.687571937335,Russian Federation (the)
8,2022-01-29,21474.704240196806,Russian Federation (the)
9,2022-01-30,21328.705952849712,Russian Federation (the)
0,2022-01-21,21642.09519300326,Sweden
1,2022-01-22,21847.808766989023,Sweden
2,2022-01-23,21709.90013742164,Sweden
3,2022-01-24,22274.435437535696,Sweden
4,2022-01-25,22152.393776485624,Sweden
5,2022-01-26,22482.334243321176,Sweden
6,2022-01-27,22373.861560747224,Sweden
7,2022-01-28,22731.08893254738,Sweden
8,2022-01-29,22609.760386844115,Sweden
9,2022-01-30,22546.75214973813,Sweden
0,2022-01-21,244.23668835643454,Austria
1,2022-01-22,636.4921178365759,Austria
2,2022-01-23,997.7645353152349,Austria
3,2022-01-24,1498.310234836695,Austria
4,2022-01-25,1945.5897930103915,Austria
5,2022-01-26,2332.009257414683,Austria
6,2022-01-27,2832.8415506463225,Austria
7,2022-01-28,3205.3546493041486,Austria
8,2022-01-29,3524.4496966733363,Austria
9,2022-01-30,3723.7226230183815,Austria
