day,dest cou,Seats,Population Density,Countries
2021-11-26,GB,530.1676245210728,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-11-26,LB,106.03352490421456,594.6827884615385,Lebanon
2021-11-26,NL,252.53352490421457,407.9605228317647,Netherlands (the)
2021-11-26,PH,106.03352490421456,336.6612533333333,Philippines (the)
2021-11-26,QA,106.03352490421456,189.43699292249264,Qatar
2021-11-26,SA,324.0,12.909915383148268,Saudi Arabia
2021-11-26,SG,106.03352490421456,8141.279770444763,Singapore
2021-11-26,TR,81.0,101.35033220089797,Turkey
2021-11-26,UA,106.03352490421456,73.61357136939773,Ukraine
2021-11-26,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-11-27,AE,106.03352490421456,69.13588516746411,United Arab Emirates (the)
2021-11-27,BH,199.03352490421457,1771.8592105263158,Bahrain
2021-11-27,DE,167.5,226.4689795026637,Germany
2021-11-27,SA,678.5335249042146,12.909915383148268,Saudi Arabia
2021-11-28,SA,560.6005747126437,12.909915383148268,Saudi Arabia
2021-11-29,SA,305.06704980842915,12.909915383148268,Saudi Arabia
2021-11-30,DE,106.03352490421456,226.4689795026637,Germany
2021-11-30,SA,487.1340996168583,12.909915383148268,Saudi Arabia
2021-12-01,AE,212.06704980842912,69.13588516746411,United Arab Emirates (the)
2021-12-01,BH,106.03352490421456,1771.8592105263158,Bahrain
2021-12-01,CH,75.0,196.76405746541656,Switzerland
2021-12-01,IN,379.5670498084292,380.7713541630226,India
2021-12-01,LB,75.0,594.6827884615385,Lebanon
2021-12-01,QA,99.0,189.43699292249264,Qatar
2021-12-01,SA,93.0,12.909915383148268,Saudi Arabia
2021-12-01,TR,88.5,101.35033220089797,Turkey
2021-12-01,UA,106.03352490421456,73.61357136939773,Ukraine
2021-12-02,AE,274.0335249042146,69.13588516746411,United Arab Emirates (the)
2021-12-02,BD,106.03352490421456,1173.3339699162489,Bangladesh
2021-12-02,CH,167.5,196.76405746541656,Switzerland
2021-12-02,DE,273.5335249042146,226.4689795026637,Germany
2021-12-02,ES,106.03352490421456,95.2690781011932,Spain
2021-12-02,GB,212.06704980842912,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-02,IN,167.5,380.7713541630226,India
2021-12-02,IT,106.03352490421456,205.2668746266676,Italy
2021-12-02,KR,106.03352490421456,492.531046931408,Korea (the Republic of)
2021-12-02,LB,273.5335249042146,594.6827884615385,Lebanon
2021-12-02,MY,106.03352490421456,92.50909664177634,Malaysia
2021-12-02,QA,167.5,189.43699292249264,Qatar
2021-12-02,SA,75.0,12.909915383148268,Saudi Arabia
2021-12-02,TR,93.0,101.35033220089797,Turkey
2021-12-02,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-12-03,BH,106.03352490421456,1771.8592105263158,Bahrain
2021-12-03,SA,280.0335249042146,12.909915383148268,Saudi Arabia
2021-12-04,AE,106.03352490421456,69.13588516746411,United Arab Emirates (the)
2021-12-04,SA,199.03352490421457,12.909915383148268,Saudi Arabia
2021-12-05,AE,106.03352490421456,69.13588516746411,United Arab Emirates (the)
2021-12-05,BD,106.03352490421456,1173.3339699162489,Bangladesh
2021-12-05,BH,424.13409961685824,1771.8592105263158,Bahrain
2021-12-05,DE,454.5670498084292,226.4689795026637,Germany
2021-12-05,FR,106.03352490421456,103.37630106197412,France
2021-12-05,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-05,HK,106.03352490421456,6445.041516245487,Hong Kong
2021-12-05,IN,441.0335249042146,380.7713541630226,India
2021-12-05,IT,106.03352490421456,205.2668746266676,Italy
2021-12-05,LB,106.03352490421456,594.6827884615385,Lebanon
2021-12-05,NL,106.03352490421456,407.9605228317647,Netherlands (the)
2021-12-05,RO,106.03352490421456,90.8857716944012,Romania
2021-12-05,SA,106.03352490421456,12.909915383148268,Saudi Arabia
2021-12-05,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-12-06,AE,93.0,69.13588516746411,United Arab Emirates (the)
2021-12-06,BH,106.03352490421456,1771.8592105263158,Bahrain
2021-12-06,CA,106.03352490421456,3.515372666297434,Canada
2021-12-06,CH,75.0,196.76405746541656,Switzerland
2021-12-06,DE,167.5,226.4689795026637,Germany
2021-12-06,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
